Date,Primary Type,Description,Arrest,X Coordinate,Y Coordinate,Latitude,Longitude,Month,Hour,Hour_Only,Part of Day,geometry
2022-07-31 18:05:00,THEFT,$500 AND UNDER,False,1149460.0,1918323.0,41.931800684,-87.726174308,7,18:05:00,18,Evening,POINT (1149460 1918323)
2022-07-31 18:00:00,THEFT,RETAIL THEFT,False,1176352.0,1900927.0,41.883500186999996,-87.627876698,7,18:00:00,18,Evening,POINT (1176352 1900927)
2022-07-31 18:00:00,THEFT,$500 AND UNDER,False,1165096.0,1910884.0,41.911069389,-87.668926219,7,18:00:00,18,Evening,POINT (1165096 1910884)
2022-07-31 18:00:00,THEFT,OVER $500,False,1178722.0,1901251.0,41.884335468,-87.61916408799999,7,18:00:00,18,Evening,POINT (1178722 1901251)
2022-07-31 18:00:00,THEFT,OVER $500,False,1152277.0,1928577.0,41.959883216,-87.71555060600001,7,18:00:00,18,Evening,POINT (1152277 1928577)
2022-07-31 18:00:00,THEFT,$500 AND UNDER,False,1176436.0,1847222.0,41.736126864,-87.629184056,7,18:00:00,18,Evening,POINT (1176436 1847222)
2022-07-31 18:00:00,THEFT,OVER $500,False,1175321.0,1889584.0,41.852397446,-87.63200286,7,18:00:00,18,Evening,POINT (1175321 1889584)
2022-07-31 17:45:00,THEFT,RETAIL THEFT,False,1179279.0,1903707.0,41.891062111,-87.61704346100001,7,17:45:00,17,Evening,POINT (1179279 1903707)
2022-07-31 17:30:00,THEFT,$500 AND UNDER,False,1168824.0,1928847.0,41.960280636,-87.654708538,7,17:30:00,17,Evening,POINT (1168824 1928847)
2022-07-31 17:30:00,THEFT,POCKET-PICKING,False,1178722.0,1901251.0,41.884335468,-87.61916408799999,7,17:30:00,17,Evening,POINT (1178722 1901251)
2022-07-31 17:30:00,THEFT,$500 AND UNDER,False,1173227.0,1823115.0,41.670045084,-87.64165001,7,17:30:00,17,Evening,POINT (1173227 1823115)
2022-07-31 17:22:00,THEFT,$500 AND UNDER,False,1177923.0,1901223.0,41.884276844,-87.62209892899999,7,17:22:00,17,Evening,POINT (1177923 1901223)
2022-07-31 17:13:00,THEFT,OVER $500,False,1159388.0,1906569.0,41.899348099,-87.69001433,7,17:13:00,17,Evening,POINT (1159388 1906569)
2022-07-31 17:00:00,THEFT,OVER $500,False,1147714.0,1937102.0,41.983365463,-87.73210647100001,7,17:00:00,17,Evening,POINT (1147714 1937102)
2022-07-31 17:00:00,THEFT,POCKET-PICKING,False,1178722.0,1901251.0,41.884335468,-87.61916408799999,7,17:00:00,17,Evening,POINT (1178722 1901251)
2022-07-31 17:00:00,THEFT,OVER $500,False,1148086.0,1898347.0,41.877011081999996,-87.731738408,7,17:00:00,17,Evening,POINT (1148086 1898347)
2022-07-31 17:00:00,THEFT,OVER $500,False,1167502.0,1919719.0,41.935261635,-87.65983252299999,7,17:00:00,17,Evening,POINT (1167502 1919719)
2022-07-31 16:45:00,THEFT,RETAIL THEFT,False,1177309.0,1904931.0,41.894465726,-87.62424106299999,7,16:45:00,16,Afternoon,POINT (1177309 1904931)
2022-07-31 16:42:00,THEFT,RETAIL THEFT,False,1164808.0,1908052.0,41.903304304,-87.670064675,7,16:42:00,16,Afternoon,POINT (1164808 1908052)
2022-07-31 16:30:00,THEFT,OVER $500,False,1136632.0,1929991.0,41.964058468000005,-87.77303559200001,7,16:30:00,16,Afternoon,POINT (1136632 1929991)
2022-07-31 16:25:00,THEFT,$500 AND UNDER,False,1157222.0,1915830.0,41.92480533,-87.697717952,7,16:25:00,16,Afternoon,POINT (1157222 1915830)
2022-07-31 16:09:00,THEFT,OVER $500,False,1175074.0,1889060.0,41.850965083,-87.632925101,7,16:09:00,16,Afternoon,POINT (1175074 1889060)
2022-07-31 16:03:00,THEFT,$500 AND UNDER,False,1181626.0,1879620.0,41.824911933,-87.609170298,7,16:03:00,16,Afternoon,POINT (1181626 1879620)
2022-07-31 16:00:00,THEFT,$500 AND UNDER,False,1159372.0,1865876.0,41.787682344000004,-87.69119062,7,16:00:00,16,Afternoon,POINT (1159372 1865876)
2022-07-31 16:00:00,THEFT,OVER $500,False,1178722.0,1901251.0,41.884335468,-87.61916408799999,7,16:00:00,16,Afternoon,POINT (1178722 1901251)
2022-07-31 16:00:00,THEFT,POCKET-PICKING,False,1178722.0,1901251.0,41.884335468,-87.61916408799999,7,16:00:00,16,Afternoon,POINT (1178722 1901251)
2022-07-31 16:00:00,THEFT,OVER $500,False,1178722.0,1901251.0,41.884335468,-87.61916408799999,7,16:00:00,16,Afternoon,POINT (1178722 1901251)
2022-07-31 16:00:00,THEFT,OVER $500,False,1194897.0,1852754.0,41.750872743,-87.561368735,7,16:00:00,16,Afternoon,POINT (1194897 1852754)
2022-07-31 16:00:00,THEFT,OVER $500,False,1178694.0,1901250.0,41.884333364,-87.619266937,7,16:00:00,16,Afternoon,POINT (1178694 1901250)
2022-07-31 16:00:00,THEFT,$500 AND UNDER,False,1176137.0,1907906.0,41.90265577,-87.62845565100001,7,16:00:00,16,Afternoon,POINT (1176137 1907906)
2022-07-31 15:40:00,THEFT,OVER $500,False,1152330.0,1901857.0,41.886560206,-87.716062887,7,15:40:00,15,Afternoon,POINT (1152330 1901857)
2022-07-31 15:30:00,THEFT,OVER $500,False,1170139.0,1825866.0,41.677661758,-87.65287225799999,7,15:30:00,15,Afternoon,POINT (1170139 1825866)
2022-07-31 15:25:00,THEFT,OVER $500,False,1156457.0,1863143.0,41.780241841999995,-87.701952384,7,15:25:00,15,Afternoon,POINT (1156457 1863143)
2022-07-31 15:10:00,THEFT,OVER $500,False,1172389.0,1850791.0,41.746010581,-87.643906039,7,15:10:00,15,Afternoon,POINT (1172389 1850791)
2022-07-31 15:00:00,THEFT,$500 AND UNDER,False,1174420.0,1910638.0,41.910191051999995,-87.63468069,7,15:00:00,15,Afternoon,POINT (1174420 1910638)
2022-07-31 15:00:00,THEFT,$500 AND UNDER,False,1161921.0,1845622.0,41.732049792,-87.682406379,7,15:00:00,15,Afternoon,POINT (1161921 1845622)
2022-07-31 14:35:00,THEFT,OVER $500,False,1177936.0,1904246.0,41.892571810999996,-87.621959165,7,14:35:00,14,Afternoon,POINT (1177936 1904246)
2022-07-31 14:30:00,THEFT,OVER $500,False,1133596.0,1939022.0,41.98889431,-87.783985308,7,14:30:00,14,Afternoon,POINT (1133596 1939022)
2022-07-31 14:20:00,THEFT,RETAIL THEFT,False,1176663.0,1906489.0,41.89875558,-87.62656646399999,7,14:20:00,14,Afternoon,POINT (1176663 1906489)
2022-07-31 14:15:00,THEFT,$500 AND UNDER,False,1176137.0,1907906.0,41.90265577,-87.62845565100001,7,14:15:00,14,Afternoon,POINT (1176137 1907906)
2022-07-31 14:00:00,THEFT,$500 AND UNDER,False,1194564.0,1834293.0,41.700222266,-87.563194215,7,14:00:00,14,Afternoon,POINT (1194564 1834293)
2022-07-31 14:00:00,THEFT,OVER $500,False,1100317.0,1935229.0,41.979006297,-87.906463155,7,14:00:00,14,Afternoon,POINT (1100317 1935229)
2022-07-31 14:00:00,THEFT,POCKET-PICKING,False,1178722.0,1901251.0,41.884335468,-87.61916408799999,7,14:00:00,14,Afternoon,POINT (1178722 1901251)
2022-07-31 13:46:00,THEFT,RETAIL THEFT,False,1176364.0,1900524.0,41.882394061999996,-87.627844798,7,13:46:00,13,Afternoon,POINT (1176364 1900524)
2022-07-31 13:00:00,THEFT,$500 AND UNDER,False,1171590.0,1887793.0,41.847565598,-87.64574925299999,7,13:00:00,13,Afternoon,POINT (1171590 1887793)
2022-07-31 13:00:00,THEFT,$500 AND UNDER,False,1160163.0,1874089.0,41.810203639,-87.688064279,7,13:00:00,13,Afternoon,POINT (1160163 1874089)
2022-07-31 13:00:00,THEFT,$500 AND UNDER,False,1154755.0,1900498.0,41.882782762,-87.707194046,7,13:00:00,13,Afternoon,POINT (1154755 1900498)
2022-07-31 13:00:00,THEFT,OVER $500,False,1153806.0,1913946.0,41.919704275,-87.710320203,7,13:00:00,13,Afternoon,POINT (1153806 1913946)
2022-07-31 12:45:00,THEFT,FROM BUILDING,False,1176796.0,1903917.0,41.891694878,-87.62615583200001,7,12:45:00,12,Afternoon,POINT (1176796 1903917)
2022-07-31 12:42:00,THEFT,RETAIL THEFT,False,1132255.0,1915235.0,41.923643775,-87.78947302899999,7,12:42:00,12,Afternoon,POINT (1132255 1915235)
2022-07-31 12:33:00,THEFT,RETAIL THEFT,False,1176618.0,1836644.0,41.707095328,-87.628834415,7,12:33:00,12,Afternoon,POINT (1176618 1836644)
2022-07-31 12:19:00,THEFT,RETAIL THEFT,False,1164808.0,1908052.0,41.903304304,-87.670064675,7,12:19:00,12,Afternoon,POINT (1164808 1908052)
2022-07-31 12:00:00,THEFT,OVER $500,False,1170335.0,1922325.0,41.942351064,-87.649344776,7,12:00:00,12,Afternoon,POINT (1170335 1922325)
2022-07-31 12:00:00,THEFT,OVER $500,False,1171468.0,1831207.0,41.692289426,-87.64785213100001,7,12:00:00,12,Afternoon,POINT (1171468 1831207)
2022-07-31 12:00:00,THEFT,OVER $500,False,1178722.0,1901251.0,41.884335468,-87.61916408799999,7,12:00:00,12,Afternoon,POINT (1178722 1901251)
2022-07-31 12:00:00,THEFT,$500 AND UNDER,False,1167444.0,1932200.0,41.969511263,-87.65968513700001,7,12:00:00,12,Afternoon,POINT (1167444 1932200)
2022-07-31 12:00:00,THEFT,$500 AND UNDER,False,1150719.0,1864941.0,41.785289523,-87.722942263,7,12:00:00,12,Afternoon,POINT (1150719 1864941)
2022-07-31 11:40:00,THEFT,OVER $500,False,1171826.0,1925510.0,41.951058036999996,-87.64377054299999,7,11:40:00,11,Morning,POINT (1171826 1925510)
2022-07-31 11:30:00,THEFT,$500 AND UNDER,False,1145654.0,1866253.0,41.788987036,-87.74147999,7,11:30:00,11,Morning,POINT (1145654 1866253)
2022-07-31 11:30:00,THEFT,POCKET-PICKING,False,1161108.0,1922076.0,41.941864819,-87.683265034,7,11:30:00,11,Morning,POINT (1161108 1922076)
2022-07-31 11:00:00,THEFT,$500 AND UNDER,False,1149181.0,1908686.0,41.905361271,-87.7274498,7,11:00:00,11,Morning,POINT (1149181 1908686)
2022-07-31 10:49:00,THEFT,$500 AND UNDER,False,1167380.0,1934505.0,41.975837637,-87.659853835,7,10:49:00,10,Morning,POINT (1167380 1934505)
2022-07-31 10:45:00,THEFT,$500 AND UNDER,False,1155953.0,1869069.0,41.796513779,-87.703641026,7,10:45:00,10,Morning,POINT (1155953 1869069)
2022-07-31 10:31:00,THEFT,RETAIL THEFT,False,1175023.0,1904549.0,41.893469034,-87.632648229,7,10:31:00,10,Morning,POINT (1175023 1904549)
2022-07-31 10:30:00,THEFT,POCKET-PICKING,False,1178722.0,1901251.0,41.884335468,-87.61916408799999,7,10:30:00,10,Morning,POINT (1178722 1901251)
2022-07-31 10:30:00,THEFT,FROM BUILDING,False,1187195.0,1869755.0,41.79771109,-87.589052989,7,10:30:00,10,Morning,POINT (1187195 1869755)
2022-07-31 10:30:00,THEFT,POCKET-PICKING,False,1178664.0,1902455.0,41.887640628,-87.61934028299999,7,10:30:00,10,Morning,POINT (1178664 1902455)
2022-07-31 09:45:00,THEFT,$500 AND UNDER,False,1164305.0,1949893.0,42.01812849,-87.670723845,7,09:45:00,9,Morning,POINT (1164305 1949893)
2022-07-31 09:30:00,THEFT,$500 AND UNDER,False,1156235.0,1937734.0,41.984931295,-87.700750539,7,09:30:00,9,Morning,POINT (1156235 1937734)
2022-07-31 09:20:00,THEFT,$500 AND UNDER,False,1164764.0,1829917.0,41.688893222,-87.67243283399999,7,09:20:00,9,Morning,POINT (1164764 1829917)
2022-07-31 09:00:00,THEFT,$500 AND UNDER,False,1158917.0,1852081.0,41.749836143,-87.693235358,7,09:00:00,9,Morning,POINT (1158917 1852081)
2022-07-31 08:37:00,THEFT,RETAIL THEFT,False,1160808.0,1899960.0,41.881183104,-87.68498211,7,08:37:00,8,Morning,POINT (1160808 1899960)
2022-07-31 08:00:00,THEFT,OVER $500,False,1178590.0,1857314.0,41.763771849,-87.62098650200001,7,08:00:00,8,Morning,POINT (1178590 1857314)
2022-07-31 07:40:00,THEFT,POCKET-PICKING,False,1177389.0,1897003.0,41.872709056,-87.62418785700001,7,07:40:00,7,Morning,POINT (1177389 1897003)
2022-07-31 07:40:00,THEFT,RETAIL THEFT,False,1171076.0,1923738.0,41.946212132,-87.646579678,7,07:40:00,7,Morning,POINT (1171076 1923738)
2022-07-31 07:30:00,THEFT,RETAIL THEFT,False,1163126.0,1950347.0,42.019399236999995,-87.675049485,7,07:30:00,7,Morning,POINT (1163126 1950347)
2022-07-31 07:25:00,THEFT,OVER $500,False,1160689.0,1860145.0,41.771928591999995,-87.68651975899999,7,07:25:00,7,Morning,POINT (1160689 1860145)
2022-07-31 07:00:00,THEFT,POCKET-PICKING,False,1178694.0,1901250.0,41.884333364,-87.619266937,7,07:00:00,7,Morning,POINT (1178694 1901250)
2022-07-31 06:50:00,THEFT,$500 AND UNDER,False,1176752.0,1903915.0,41.891690385,-87.626317482,7,06:50:00,6,Morning,POINT (1176752 1903915)
2022-07-31 06:30:00,THEFT,OVER $500,False,1142148.0,1902794.0,41.889326343,-87.753430917,7,06:30:00,6,Morning,POINT (1142148 1902794)
2022-07-31 06:16:00,THEFT,RETAIL THEFT,False,1176475.0,1907007.0,41.900181244,-87.62724131200001,7,06:16:00,6,Morning,POINT (1176475 1907007)
2022-07-31 05:45:00,THEFT,OVER $500,False,1177923.0,1901223.0,41.884276844,-87.62209892899999,7,05:45:00,5,Morning,POINT (1177923 1901223)
2022-07-31 05:30:00,THEFT,POCKET-PICKING,False,1177380.0,1897327.0,41.873598335,-87.62421107200001,7,05:30:00,5,Morning,POINT (1177380 1897327)
2022-07-31 05:15:00,THEFT,$500 AND UNDER,False,1173600.0,1905959.0,41.897369921999996,-87.637832378,7,05:15:00,5,Morning,POINT (1173600 1905959)
2022-07-31 05:02:00,THEFT,OVER $500,False,1192157.0,1856677.0,41.761704799,-87.571281897,7,05:02:00,5,Morning,POINT (1192157 1856677)
2022-07-31 04:15:00,THEFT,$500 AND UNDER,False,1182650.0,1863246.0,41.7799566,-87.605921959,7,04:15:00,4,Night,POINT (1182650 1863246)
2022-07-31 04:14:00,THEFT,OVER $500,False,1189527.0,1854761.0,41.756510659,-87.58098237,7,04:14:00,4,Night,POINT (1189527 1854761)
2022-07-31 04:00:00,THEFT,OVER $500,False,1174477.0,1903856.0,41.891579621,-87.634674198,7,04:00:00,4,Night,POINT (1174477 1903856)
2022-07-31 03:55:00,THEFT,RETAIL THEFT,False,1154535.0,1926422.0,41.953924785,-87.707307,7,03:55:00,3,Night,POINT (1154535 1926422)
2022-07-31 03:40:00,THEFT,RETAIL THEFT,False,1168145.0,1937368.0,41.983677246,-87.65695752299999,7,03:40:00,3,Night,POINT (1168145 1937368)
2022-07-31 03:30:00,THEFT,$500 AND UNDER,False,1153989.0,1927405.0,41.95663313,-87.709287854,7,03:30:00,3,Night,POINT (1153989 1927405)
2022-07-31 03:15:00,THEFT,OVER $500,False,1195653.0,1848307.0,41.738651176,-87.55874513100001,7,03:15:00,3,Night,POINT (1195653 1848307)
2022-07-31 03:00:00,THEFT,OVER $500,False,1196234.0,1852190.0,41.749292061999995,-87.556488082,7,03:00:00,3,Night,POINT (1196234 1852190)
2022-07-31 03:00:00,THEFT,$500 AND UNDER,False,1162597.0,1858584.0,41.7676054,-87.679569091,7,03:00:00,3,Night,POINT (1162597 1858584)
2022-07-31 03:00:00,THEFT,$500 AND UNDER,False,1178578.0,1867009.0,41.790376197,-87.620736031,7,03:00:00,3,Night,POINT (1178578 1867009)
2022-07-31 02:30:00,THEFT,OVER $500,False,1175301.0,1903292.0,41.890013524000004,-87.631664996,7,02:30:00,2,Night,POINT (1175301 1903292)
2022-07-31 02:30:00,THEFT,OVER $500,False,1169247.0,1921430.0,41.939918899,-87.653369734,7,02:30:00,2,Night,POINT (1169247 1921430)
2022-07-31 02:30:00,THEFT,FROM BUILDING,False,1175301.0,1903292.0,41.890013524000004,-87.631664996,7,02:30:00,2,Night,POINT (1175301 1903292)
2022-07-31 02:29:00,THEFT,$500 AND UNDER,False,1161496.0,1861276.0,41.775015522,-87.683530209,7,02:29:00,2,Night,POINT (1161496 1861276)
2022-07-31 02:23:00,THEFT,FROM BUILDING,False,1174469.0,1904439.0,41.893179585,-87.634686145,7,02:23:00,2,Night,POINT (1174469 1904439)
2022-07-31 02:15:00,THEFT,OVER $500,False,1176302.0,1903096.0,41.889453169,-87.62799483299999,7,02:15:00,2,Night,POINT (1176302 1903096)
2022-07-31 02:15:00,THEFT,$500 AND UNDER,False,1174477.0,1904439.0,41.893179406,-87.634656764,7,02:15:00,2,Night,POINT (1174477 1904439)
